masked_mse,mse_wav,mse_wav_q0,mse_wav_q2,samples,step
0.00047112532934988837,0.018691430687904357,0.0569767605732469,0.0755725647417866,101,100
0.0003126879107730926,0.01008641039952636,0.04758497011349646,0.04494609932104748,201,200
0.00030667800790979517,0.009254100690595806,0.04055939786136151,0.045767700672149664,301,300
0.0002978276499197816,0.008787481263279918,0.03990047702735121,0.04141195308831004,401,400
0.00028279390375246337,0.008243224960751836,0.031978695670312085,0.04323180740078288,501,500
0.00028631276320084,0.007913540918380027,0.028560842843131817,0.042025625143411016,601,600
0.0002871781571593602,0.00745506316889077,0.02568438097412855,0.04104960475988847,701,700
0.00028377062742947597,0.007342123994603751,0.026091913613727546,0.03903534513239453,801,800
0.0002668177246232519,0.00757103573065251,0.023070364939765293,0.04374893855613966,901,900
0.0002714961097808556,0.007531739990226928,0.023107118940410707,0.042931872458818056,1001,1000
0.00027211032269406135,0.00721495662815869,0.02254849270570512,0.04088699304479727,1101,1100
0.0002766665366652887,0.0072424754872918145,0.022289242230209654,0.04003158645058167,1201,1200
0.0002716580340347719,0.007135475012473765,0.022293117221282875,0.03750036125657734,1301,1300
0.00027731329493690287,0.007361020990647376,0.022593791410326948,0.038360368863989906,1401,1400
0.0002624699243460784,0.006890885680913925,0.020973061615566044,0.037297273173611215,1501,1500
0.00026809270435478527,0.007248015524819493,0.02030127677356913,0.03986706918683543,1601,1600
0.00026303010046831345,0.007196337217465042,0.020707751003404457,0.03988835853166305,1701,1700
0.00026392531901365125,0.006583406305871905,0.019060304440144032,0.03672759603385042,1801,1800
0.00026217421662295265,0.00676238428801298,0.01901498186634853,0.03655673563480378,1901,1900
0.00026962643838487557,0.006895806873217228,0.018587212679752465,0.03819116724368472,2001,2000
0.00026434035855345413,0.006527729169465597,0.018330240097235554,0.03674241569307118,2101,2100
0.00026957037945976494,0.006958576221950352,0.017791036071933122,0.03948967488083455,2201,2200
0.0002672827550850344,0.007171044810675084,0.018209320169104194,0.04096625683208305,2301,2300
0.00025165636936435464,0.006574109343346209,0.01768853694877842,0.03766164510614344,2401,2400
0.00025423399594728843,0.0064848680468276125,0.01687142788432539,0.03592999977990985,2501,2500
0.0002630523615516724,0.006895759878680112,0.017628005765219952,0.03942095917069688,2601,2600
0.0002636482815432828,0.0068823660816997295,0.017104355618357676,0.03757434758215641,2701,2700
0.00025385625893250115,0.006406296468339859,0.016298129304982072,0.038412156623116755,2801,2800
0.0002501151915930676,0.0066367767984047525,0.015894447734474012,0.03990256469300454,2901,2900
0.0002551021946419496,0.006118542419280855,0.015681031160056584,0.03426265383654453,3001,3000
0.0002579070713545661,0.006419410659000279,0.015850040148578437,0.03735798912845096,3101,3100
0.00025388221838511526,0.006490932721644641,0.016012303379117233,0.036929345927109884,3201,3200
0.0002456021783291363,0.006461227326653898,0.014829857633090934,0.039739878227313376,3301,3300
0.00025588527903892106,0.006568829894531519,0.015586054418236017,0.03767490451439068,3401,3400
0.00025091838819207623,0.006286513884551823,0.014976495527662335,0.03750400452620604,3501,3500
0.00024492215015925456,0.006740867393091318,0.015603575135036457,0.042096966956841175,3601,3600
0.00025672458083136017,0.006347711472772062,0.01443943818855398,0.037874019605682256,3701,3700
0.00024518140533473374,0.006350870893802496,0.014408839936807473,0.03884147511834795,3801,3800
0.0002351072906458285,0.006034222682937982,0.01440609838054688,0.03532779998267474,3901,3900
0.0002382400992792099,0.005640291755553334,0.013797824896755625,0.03441675902447768,4001,4000
0.0002544790509273299,0.006267678369767965,0.014670573350674706,0.036022833092732624,4101,4100
0.00025036326595,0.006449969788081944,0.013738299640727801,0.038450018274334245,4201,4200
0.0002455247775651515,0.0065979067096486686,0.013714049090730382,0.040127334553959226,4301,4300
0.0002471472726028879,0.006337178926914931,0.013679380528628823,0.03871067095547912,4401,4400
0.00024454487036564395,0.006603600394446402,0.014017520605453424,0.04047449590528713,4501,4500
0.0002456858698860743,0.00636271541239694,0.013455930512909796,0.03886290882923165,4601,4600
0.000244555100944126,0.00633844637777656,0.014397478328560883,0.03862317302759656,4701,4700
0.0002446428299299441,0.006082572359591718,0.01337652772946178,0.03650401928957474,4801,4800
0.0002466532713151537,0.0063339118985459185,0.013304886042925653,0.039107177710654785,4901,4900
0.00023769325824105184,0.0058841456170193865,0.013466281244498592,0.03609646276332612,5001,5000
